Date,Log
2026-01-05,"Completed Python basics including variables, data types, operators and input/output."
2026-01-08,"Practiced conditional statements (if-else) and loops in Python."
2026-01-12,"Solved beginner programming problems using functions."
2026-01-16,"Learned lists, tuples, sets and dictionaries in Python."
2026-01-20,"Practiced file handling and exception handling."
2026-01-25,"Started NumPy and worked with arrays and mathematical operations."
2026-01-30,"Learned Pandas DataFrames, indexing and filtering."
2026-02-04,"Performed data cleaning using Pandas by handling missing values and duplicates."
2026-02-10,"Worked with Matplotlib to create line charts, bar graphs and scatter plots."
2026-02-15,"Created statistical visualizations using Seaborn."
2026-02-21,"Learned SQL basics including SELECT, WHERE, ORDER BY and LIMIT."
2026-02-26,"Practiced SQL JOIN, GROUP BY and aggregate functions."
2026-03-03,"Explored probability and basic statistics for data analysis."
2026-03-10,"Studied machine learning concepts including supervised and unsupervised learning."
2026-03-18,"Implemented Linear Regression using Scikit-learn."
2026-03-25,"Built Logistic Regression models for classification problems."
2026-04-02,"Learned Decision Trees and Random Forest algorithms."
2026-04-10,"Evaluated machine learning models using accuracy, precision, recall and F1-score."
2026-04-18,"Performed feature engineering and feature selection techniques."
2026-04-26,"Learned Git and GitHub version control including commits, branches and pull requests."
2026-05-05,"Built a small data analysis project using Python, Pandas and Matplotlib."
2026-05-15,"Worked on internship datasets involving data preprocessing and exploratory data analysis."
2026-05-24,"Practiced regular expressions for text preprocessing."
2026-06-02,"Learned Natural Language Processing basics including tokenization and stopword removal."
2026-06-12,"Studied TF-IDF vectorization and text similarity techniques."
2026-06-20,"Implemented basic recommendation system concepts."
2026-06-28,"Worked on the SkillMirror project to compare learning skills with job market requirements."
